race,year,edition,first_age,second_age,third_age,first_weight,second_weight,third_weight
paris-roubaix,1896,1,31.27,28.11,25.15,nan,nan,61
paris-roubaix,1897,2,26.15,27.38,24.46,61,nan,nan
paris-roubaix,1898,3,27.12,35.19,21.34,61,nan,nan
paris-roubaix,1899,4,21.01,21.98,23.91,nan,nan,nan
paris-roubaix,1900,5,29.88,35.25,29.14,nan,nan,61
paris-roubaix,1901,6,37.51,25.93,nan,nan,nan,nan
paris-roubaix,1902,7,38.49,25.31,26.9,nan,nan,nan
paris-roubaix,1903,8,26.5,nan,21.8,nan,nan,nan
paris-roubaix,1904,9,27.48,24.31,21.23,nan,nan,77
paris-roubaix,1905,10,23.83,25.9,20.73,nan,nan,nan
paris-roubaix,1906,11,21.71,20.33,26.88,nan,nan,nan
paris-roubaix,1907,12,21.48,23.3,25.77,nan,nan,nan
paris-roubaix,1908,13,24.36,24.77,21.24,nan,nan,nan
paris-roubaix,1909,14,21.48,27.8,22.41,nan,nan,nan
paris-roubaix,1910,15,22.44,26.29,25.19,nan,nan,nan
paris-roubaix,1911,16,23.49,31.72,27.35,nan,nan,nan
paris-roubaix,1912,17,25.47,27.55,25.43,nan,nan,nan
paris-roubaix,1913,18,26.17,23.16,26.43,nan,nan,nan
paris-roubaix,1914,19,27.48,21.58,24.78,nan,nan,nan
paris-roubaix,1919,20,30.26,28.55,27.58,nan,nan,nan
paris-roubaix,1920,21,30.96,35.22,27.58,nan,nan,nan
paris-roubaix,1921,22,32.19,26.8,33.04,nan,nan,nan
paris-roubaix,1922,23,28.18,31.32,33.52,nan,nan,nan
paris-roubaix,1923,24,23.74,30.04,30.26,nan,nan,nan
paris-roubaix,1924,25,29.09,23.45,31.28,nan,nan,nan
paris-roubaix,1925,26,32.29,26.35,30.11,nan,nan,nan
paris-roubaix,1926,27,22.61,24.04,21.19,nan,nan,75
paris-roubaix,1927,28,21.13,33.42,24.17,nan,nan,nan
paris-roubaix,1928,29,24.13,22.11,24.82,nan,nan,nan
paris-roubaix,1929,30,25.8,23.09,23.07,nan,nan,nan
paris-roubaix,1930,31,30.48,20.16,26.19,nan,nan,70
paris-roubaix,1931,32,26.2,28.14,27.1,75,nan,nan
paris-roubaix,1932,33,25.07,26.08,25.4,nan,nan,nan
paris-roubaix,1933,34,23.65,33.47,23.11,70,nan,nan
paris-roubaix,1934,35,29.19,27.37,26.53,75,nan,nan
paris-roubaix,1935,36,30.24,31.17,27.64,75,nan,nan
paris-roubaix,1936,37,28.87,23.69,31.22,73,68,75
paris-roubaix,1937,38,22.41,20.7,24.27,nan,70,nan
paris-roubaix,1938,39,21.84,27.36,23.95,nan,nan,nan
paris-roubaix,1939,40,23.62,24.57,28.25,nan,74,nan
paris-roubaix,1943,41,28.61,29.57,32.92,74,nan,68
paris-roubaix,1944,42,23.88,29.45,33.88,nan,nan,68
paris-roubaix,1945,43,31.66,25.34,24.49,67,nan,nan
paris-roubaix,1946,44,26.3,30.04,31.69,nan,nan,nan
paris-roubaix,1947,45,27.28,24.86,36.89,nan,nan,68
paris-roubaix,1948,46,23.6,27.75,28.28,83,nan,nan
paris-roubaix,1949,47,29.43,26.1,29.92,nan,nan,nan
paris-roubaix,1950,48,30.59,27.84,29.36,72,nan,nan
paris-roubaix,1951,49,32.48,26.09,26.59,80,74,83
paris-roubaix,1952,50,27.61,32.6,32.42,83,72,nan
paris-roubaix,1953,51,23.46,23.29,23.44,70,nan,nan
paris-roubaix,1954,52,28.5,34.21,29.74,69,61,nan
paris-roubaix,1955,53,24.52,35.59,30.1,70,72,74
paris-roubaix,1956,54,31.1,25.48,25.52,74,68,70
paris-roubaix,1957,55,26.48,32.6,24.13,68,83,78
paris-roubaix,1958,56,25.15,30.09,24.33,78,nan,73
paris-roubaix,1959,57,26.32,28.21,27.3,73,nan,68
paris-roubaix,1960,58,37.98,31.66,32.08,72,nan,nan
paris-roubaix,1961,59,27.32,29.3,24.8,73,68,nan
paris-roubaix,1962,60,28.32,24.03,28.42,73,64,nan
paris-roubaix,1963,61,25.02,29.32,22.9,64,73,76
paris-roubaix,1964,62,30.45,23.58,30.17,79,71,nan
paris-roubaix,1965,63,31.33,23.64,30.19,73,nan,nan
paris-roubaix,1966,64,23.56,25.93,30.95,78,76,nan
paris-roubaix,1967,65,26.91,33.32,30.08,76,73,nan
paris-roubaix,1968,66,22.82,24.67,24.78,74,nan,73
paris-roubaix,1969,67,25.8,23.84,23.98,73,74,nan
paris-roubaix,1970,68,24.84,22.65,23.75,74,74,nan
paris-roubaix,1971,69,24.41,27.7,25.9,78,nan,nan
paris-roubaix,1972,70,24.66,24.48,32.22,74,nan,nan
paris-roubaix,1973,71,27.85,29.81,26.4,74,73,78
paris-roubaix,1974,72,26.64,22.82,23.98,74,79,85
paris-roubaix,1975,73,27.65,29.84,27.47,74,74,nan
paris-roubaix,1976,74,26.0,24.83,28.65,85,79,74
paris-roubaix,1977,75,29.67,28.7,25.19,74,nan,nan
paris-roubaix,1978,76,26.84,30.67,25.45,79,74,72
paris-roubaix,1979,77,27.82,31.64,30.19,79,74,69
paris-roubaix,1980,78,28.84,25.65,25.44,79,73,nan
paris-roubaix,1981,79,26.43,33.66,29.84,62,74,79
paris-roubaix,1982,80,29.46,29.04,26.32,72,nan,nan
paris-roubaix,1983,81,34.2,28.64,31.83,69,73,79
paris-roubaix,1984,82,27.89,23.15,25.02,77,nan,nan
paris-roubaix,1985,83,26.01,22.12,28.91,68,nan,77
paris-roubaix,1986,84,29.91,25.02,26.84,77,nan,70
paris-roubaix,1987,85,25.18,28.62,26.02,74,nan,nan
paris-roubaix,1988,86,28.45,27.55,27.68,72,nan,nan
paris-roubaix,1989,87,30.03,28.25,22.7,82,nan,nan
paris-roubaix,1990,88,31.56,30.84,23.69,75,72,nan
paris-roubaix,1991,89,32.02,29.81,27.86,68,nan,nan
paris-roubaix,1992,90,37.66,32.02,28.02,73,nan,nan
paris-roubaix,1993,91,38.65,28.35,33.02,73,78,nan
paris-roubaix,1994,92,31.24,25.84,29.35,75,60,78
paris-roubaix,1995,93,30.35,32.23,29.51,78,75,71
paris-roubaix,1996,94,30.52,27.65,29.96,71,73,73
paris-roubaix,1997,95,25.52,26.34,31.52,73,70,71
paris-roubaix,1998,96,33.36,31.95,33.78,78,73,76
paris-roubaix,1999,97,32.95,34.78,27.62,73,76,73
paris-roubaix,2000,98,34.52,30.25,29.78,71,70,69
paris-roubaix,2001,99,30.13,35.53,28.14,68,71,72
paris-roubaix,2002,100,36.53,31.12,21.51,71,72,82
paris-roubaix,2003,101,33.25,27.63,37.21,70,78,69
paris-roubaix,2004,102,29.22,34.3,30.22,94,80,71
paris-roubaix,2005,103,24.5,31.8,27.58,82,83,72
paris-roubaix,2006,104,25.08,25.5,26.44,80,82,73
paris-roubaix,2007,105,33.71,29.59,36.12,73,72,72
paris-roubaix,2008,106,27.51,27.09,28.45,82,80,73
paris-roubaix,2009,107,28.51,27.61,31.25,82,73,83
paris-roubaix,2010,108,29.08,32.25,32.59,80,83,72
paris-roubaix,2011,109,30.2,30.08,33.45,79,80,81
paris-roubaix,2012,110,31.5,28.01,32.44,82,73,73
paris-roubaix,2013,111,32.08,24.71,28.91,80,77,75
paris-roubaix,2014,112,29.92,25.28,33.09,75,82,80
paris-roubaix,2015,113,26.28,29.35,29.92,82,68,74
paris-roubaix,2016,114,38.0,35.51,28.9,78,82,83
paris-roubaix,2017,115,31.92,31.35,32.25,74,68,67
paris-roubaix,2018,116,28.22,27.7,33.91,78,75,75
paris-roubaix,2019,117,36.8,25.12,28.03,75,80,75
paris-roubaix,2020,118
paris-roubaix,2021,119,31.4,22.58,26.72,74,85,75
